"ResponseID","xdemAll","demZIP","BPC1_1","BPC1_2","BPC1_3","BPC1_4","BPC1_5","BPC2_1NET","BPC2_2NET","BPC2_3NET","BPC2_4NET","BPC2_5NET","BPC2_6NET","BPC2_7NET","BPC2_8NET","BPC2_9NET","BPC2_10NET","BPC2_11NET","BPC2_12NET","BPC2_13NET","BPC2_14NET","BPC3_1NET","BPC3_2NET","BPC3_3NET","BPC3_4NET","BPC3_5NET","BPC3_6NET","BPC3_7NET","BPC3_8NET","BPC3_9NET","BPC3_10NET","BPC3_11NET","BPC3_12NET","BPC3_13NET","BPC3_14NET","BPC3_15NET","BPC4_1NET","BPC4_2NET","BPC4_3NET","BPC4_4NET","BPC4_5NET","BPC4_6NET","BPC4_7NET","BPC4_8NET","BPC4_9NET","BPC4_10NET","BPC4_11NET","BPC4_12NET","BPC4_13NET","BPC4_14NET","BPC4_15NET","BPC5_1NET","BPC5_2NET","BPC5_3NET","BPC5_4NET","BPC5_5NET","BPC5_6NET","BPC5_7NET","BPC5_8NET","BPC5_9NET","BPC5_10NET","BPC5_11NET","BPC5_12NET","BPC5_13NET","BPC5_14NET","BPC5_15NET","BPC6_1NET","BPC6_2NET","BPC6_3NET","BPC6_4NET","BPC6_5NET","BPC6_6NET","BPC6_7NET","BPC6_8NET","BPC6_9NET","BPC6_10NET","BPC6_11NET","BPC6_12NET","BPC6_13NET","BPC6_14NET","BPC6_15NET","BPC6_16NET","BPC6_17NET","BPC6_18NET","BPC6_19NET","BPC6_20NET","BPC7_1NET","BPC7_2NET","BPC7_3NET","BPC7_4NET","BPC7_5NET","BPC7_6NET","BPC7_7NET","BPC7_8NET","BPC7_9NET","BPC7_10NET","BPC7_11NET","BPC7_12NET","BPC7_13NET","BPC7_14NET","BPC7_15NET","BPC7_16NET","BPC7_17NET","BPC7_18NET","BPC7_19NET","BPC7_20NET","BPC8_1NET","BPC8_2NET","BPC8_3NET","BPC8_4NET","BPC8_5NET","BPC8_6NET","BPC8_7NET","BPC8_8NET","BPC8_9NET","BPC8_10NET","BPC8_11NET","BPC9","BPC10","BPC11","BPC12","BPC13","BPC14_1","BPC14_2","BPC14_3","BPC14_4","BPC14_5","BPC14_6","BPC14_7","BPC14_8","BPC14_9","BPC14_10","BPC15","BPC16_1NET","BPC16_2NET","BPC16_3NET","BPC16_4NET","BPC16_5NET","BPC16_6NET","BPC16_7NET","BPC16_8NET","BPC16_9NET","BPC16_10NET","BPC17_1","BPC17_2","BPC17_3","BPC17_4","BPC18","BPC19","BPC20a","BPC20b","BPC20c","BPC21a","BPC21b","BPC21c","BPC22a","BPC22b","BPC22c","BPC23a","BPC23b","BPC23c","BPC24_1","BPC24_2","BPC24_3","BPC24_4","BPC24_5","BPC24_6","BPC24_7","BPC24_8","BPC24_9","BPC24_10","BPC24_11","nr1","nr2b","nr3","BPC20","BPC21","BPC22","BPC23","xdemGender","age","demAgeGeneration","xpid3","xpidGender","xdemIdeo3","xeduc3","xdemInc3","xdemWhite","xdemHispBin","demBlackBin","demRaceOther","xdemReligion","xdemReligOther","xdemEvang","xdemUsr","xdemEmploy","xdemMilHH1","xnr1","xdemBidenApprove","xdemBidenApprove2","xnr3","xsubVote22O","xsubVote20O","xsubVote18O","xreg4","demInsured","demInsType","demUnion","demLGBTQ1","xdemMarried","BPCxdem1","BPCxdem2","BPCxdem3","BPCxdem4","BPCxdem5","county_fips","demGender","wts"
"R_1R4XAO8FZxK7PJ8",1,"40962",5,5,5,5,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,4,6,5,3,3,3,NA,3,3,3,3,3,3,7,2,2,2,2,2,2,2,2,2,1,6,6,6,6,5,3,2,NA,NA,2,NA,NA,4,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,1,1,3,6,2,1,1,1,NA,NA,NA,4,NA,NA,3,4,2,2,1,2,3,4,4,4,3,1,6,2,1,1,2,2,1,1,2,21051,2,0.17372954192538118
"R_7XECQsUIjYKkxTX",1,"36206",4,4,4,4,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,4,6,6,5,2,2,2,2,NA,2,2,2,2,2,6,1,2,2,2,1,1,2,2,2,2,3,3,3,3,2,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,3,3,3,6,1,2,2,NA,NA,1,NA,5,NA,2,2,1,1,1,1,1,4,2,2,2,3,1,1,2,1,1,1,2,2,3,NA,1015,2,2.846560673553081
"R_3DMthqkCSy2dHvm",1,"24630",4,4,4,4,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,5,1,5,5,5,NA,5,5,5,5,5,5,7,2,2,1,2,2,2,2,2,2,2,5,1,2,5,5,4,NA,1,NA,NA,2,NA,NA,5,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,2,4,4,1,2,5,1,2,3,4,3,6,3,1,1,1,NA,NA,NA,5,NA,1,3,3,2,2,2,4,4,2,2,2,3,1,5,2,1,1,2,2,2,1,NA,51185,2,0.5065834468317291
"R_1VkIvAJ3wvRErLj",1,"45769",5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,5,1,5,5,4,3,3,3,NA,3,3,3,3,3,3,7,2,2,2,2,2,2,2,2,2,1,3,6,6,6,4,5,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,5,4,4,4,4,4,4,4,4,4,4,4,2,5,1,5,5,5,5,2,2,2,3,6,2,1,1,1,NA,NA,NA,4,NA,NA,3,7,2,2,NA,NA,1,4,4,4,2,1,6,2,1,2,2,2,2,1,2,39105,2,0.15726710846128777
"R_6WVfySP6uFC2sxC",1,"99021",5,5,1,3,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,6,3,1,4,2,2,2,2,3,NA,3,3,3,3,3,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,3,3,3,3,3,3,3,4,3,3,4,1,1,1,1,1,1,1,2,4,4,2,4,3,1,1,1,NA,NA,NA,1,NA,1,3,6,2,1,1,1,1,1,4,1,4,1,5,2,1,2,1,2,2,1,2,53063,2,0.16706788620532204
"R_1LqxnhBH0FgX08p",1,"44460",1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,5,5,4,4,5,5,NA,4,5,3,5,5,3,2,2,2,2,2,2,1,2,2,2,3,3,4,3,4,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,5,5,1,1,5,5,1,5,5,4,5,2,4,5,2,2,2,2,2,1,2,3,6,2,1,1,1,NA,NA,NA,4,NA,NA,1,3,2,2,2,4,5,2,4,1,2,1,6,2,1,2,2,2,2,4,NA,39029,2,0.18362333190448182
"R_3lf1cy5DxAibTUt",1,"02170",3,3,3,3,3,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,4,4,4,NA,5,5,4,4,5,3,2,2,2,1,2,2,1,2,2,2,5,5,4,4,3,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,4,1,1,2,1,1,1,NA,NA,NA,1,NA,2,1,6,2,1,1,1,3,1,1,1,1,1,5,2,1,1,1,2,2,1,1,25021,1,0.20503379318035453
"R_1E6c0ENSMLVSE0f",1,"43040",2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,2,6,6,5,3,3,3,NA,3,3,3,3,3,3,7,2,2,2,2,2,2,2,2,2,1,1,6,6,6,5,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,1,1,1,2,3,4,3,6,3,1,1,1,NA,NA,NA,1,NA,1,2,6,2,2,2,4,3,2,2,2,2,1,6,2,1,2,2,2,1,1,2,39159,2,0.1514359601019023
"R_3tWP3bVOqsxzVvP",1,"19138",1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,3,6,5,5,2,2,2,NA,2,4,4,3,3,2,5,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,1,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,1,3,2,4,4,2,2,2,2,2,4,4,1,2,NA,1,1,NA,NA,1,NA,5,NA,1,1,6,2,2,2,4,4,4,1,4,1,1,5,2,1,2,2,2,2,3,2,42101,2,0.7370036062358781
"R_1EnToMaJav1IMHN",1,"31064",3,2,1,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,5,3,2,5,1,5,5,5,5,NA,5,5,5,5,5,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,NA,NA,2,NA,NA,2,NA,NA,3,NA,NA,1,1,1,4,1,1,3,4,3,1,3,1,2,7,2,2,2,3,1,2,2,1,1,1,2,1,NA,NA,1,NA,5,NA,1,3,1,2,1,1,2,7,1,1,1,3,1,4,2,1,2,1,2,1,1,NA,13159,1,0.3096820072931626
"R_3aDKRhsDAKh1zdn",1,"75154",3,2,3,4,3,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,1,5,2,5,5,3,5,NA,5,3,5,5,3,3,1,2,2,2,1,2,1,2,2,2,3,4,4,4,4,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,2,2,3,4,1,4,4,2,2,4,4,2,3,1,1,1,1,1,2,3,4,1,2,1,2,1,NA,NA,1,NA,1,NA,2,2,6,2,2,2,3,1,4,1,1,3,1,5,2,1,2,2,2,2,1,2,48139,2,0.19832142648054102
"R_3lWdrIkpELdtnqJ",1,"21740",4,4,4,4,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,6,6,5,5,5,5,5,NA,5,5,5,5,5,5,2,2,2,2,2,2,2,1,2,2,5,4,4,4,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,2,3,1,2,1,3,2,2,4,2,3,1,2,5,1,1,1,1,2,2,3,1,2,1,1,1,1,NA,NA,NA,5,NA,1,2,6,2,1,1,2,5,4,2,1,3,2,NA,2,4,2,1,2,2,1,1,24043,2,0.07414933711333047
"R_3TLQMuvV5TLaJvq",1,"35022",3,4,5,3,3,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,4,2,6,6,5,5,5,5,5,NA,5,5,5,5,5,3,1,2,1,1,1,1,2,1,2,2,4,2,3,2,1,2,NA,3,NA,NA,2,NA,NA,2,NA,NA,2,NA,1,5,3,1,2,1,1,2,1,2,2,2,4,2,3,2,2,2,2,3,3,3,6,2,1,1,1,NA,NA,NA,4,NA,NA,3,6,2,2,2,4,2,2,2,4,3,1,6,2,1,1,2,2,2,4,1,1073,2,1.5505524905061017
"R_7lzPwDqswoYqSmf",1,"22191",2,4,2,1,3,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,6,2,1,2,2,1,2,1,2,2,2,3,4,2,2,2,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,2,1,1,3,1,3,NA,NA,1,NA,5,NA,1,2,3,2,2,1,1,3,1,1,1,3,1,6,2,1,1,2,2,2,4,NA,51153,1,0.25337667532150937
"R_7QflqpAt9hs7YUE",1,"08530",4,4,4,4,4,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,4,5,3,5,5,5,NA,5,5,5,5,5,5,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,3,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,2,1,2,1,4,2,1,4,2,1,4,2,4,1,3,3,3,3,1,1,2,3,5,3,2,3,1,NA,NA,NA,1,NA,NA,1,1,1,2,2,4,1,2,2,2,1,1,1,1,1,2,2,2,2,4,NA,34019,1,2.2029744427601363
"R_3HpHh92dA4wJAB5",1,"53213",1,5,2,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,6,2,6,5,5,3,4,3,NA,3,5,4,3,3,4,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,2,1,2,4,1,3,3,1,1,2,4,2,1,3,1,1,1,1,2,3,3,1,2,1,1,1,1,NA,NA,NA,4,NA,NA,1,3,2,2,1,1,3,1,1,1,2,1,6,2,1,2,2,2,2,1,NA,55079,2,1.220905051857656
"R_1fsDdEDxiAEHk6B",1,"32177",3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,5,1,5,5,1,5,5,5,NA,5,5,5,5,5,5,2,1,2,2,2,2,2,2,2,2,2,1,1,4,5,4,4,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,3,1,2,1,1,1,1,2,1,1,3,2,4,2,2,2,2,2,2,3,4,3,6,3,1,1,1,NA,NA,NA,5,NA,1,3,6,2,2,2,4,2,2,2,2,3,1,6,2,1,2,2,2,2,4,2,12107,2,0.09566008408995219
"R_1gSxTD5LBMAVkQ3",1,"37752",5,5,5,5,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,2,3,3,1,3,3,3,3,NA,3,3,3,3,3,5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,2,2,2,2,2,2,2,2,2,1,2,2,4,4,2,2,2,2,2,3,4,3,6,2,1,1,1,NA,NA,NA,1,NA,1,3,6,2,2,2,4,4,4,4,4,3,2,NA,2,1,2,2,2,2,1,2,47025,2,0.16818455808593907
"R_6RA0fbOTwgIaRfH",1,"30606",1,3,1,4,4,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,4,3,6,6,2,2,2,2,NA,2,4,2,2,4,4,2,2,1,2,2,1,1,1,2,2,2,6,6,3,6,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,1,2,2,4,1,3,3,1,2,5,2,1,1,7,1,1,1,1,2,4,NA,2,4,2,3,2,1,NA,NA,NA,1,NA,2,2,3,2,1,1,1,7,1,1,1,3,1,1,2,1,1,1,2,2,1,NA,13059,2,0.5588773481955975
"R_3dPTuXRVFalOrOp",1,"28525",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,3,1,1,2,3,2,2,NA,3,2,3,3,2,3,4,2,1,2,1,2,2,1,2,2,2,3,3,3,3,3,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,2,2,2,2,2,2,2,2,2,3,2,1,2,5,2,2,2,2,2,1,2,1,2,1,1,1,NA,NA,1,NA,1,NA,1,3,2,2,1,1,2,5,1,1,1,3,1,6,2,1,1,1,2,1,1,NA,37107,2,0.4494922953295039
"R_1EieDDN4a24Ed5T",1,"92127",3,3,3,3,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3,3,3,3,NA,3,3,4,3,3,2,1,1,2,2,1,2,2,2,2,2,2,1,4,3,2,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,3,4,1,1,2,2,2,NA,NA,NA,1,1,NA,2,2,1,2,2,1,2,4,4,1,4,4,1,1,2,1,2,2,2,2,1,NA,6073,1,0.9262013433696472
"R_1Y4zEtcZepkxhTq",1,"08012",2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,4,3,6,6,2,3,3,3,5,NA,3,3,3,3,3,2,2,1,1,2,1,1,2,2,2,2,6,6,6,6,1,5,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,1,1,1,1,1,1,1,1,2,3,3,2,3,1,2,2,2,2,2,2,2,2,4,2,1,1,1,NA,NA,NA,5,NA,2,2,4,2,2,2,3,1,4,4,4,1,1,6,2,3,2,2,2,2,4,1,34015,2,0.14347928514226982
"R_7ysA2mdK81arv47",1,"77075",5,5,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,5,3,6,6,5,5,5,5,5,NA,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,1,6,6,6,6,5,5,5,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,5,5,5,1,5,1,5,2,2,2,2,4,1,5,1,1,1,2,3,4,3,6,3,1,1,1,NA,NA,NA,5,NA,1,2,7,2,2,2,4,1,2,2,2,3,1,6,2,1,2,2,2,2,3,2,48201,2,0.44384355174388046
"R_3Mo4zhfHQ1xggjn",1,"95351",5,5,1,3,3,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,5,2,6,5,2,3,3,3,4,NA,4,3,3,3,4,6,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,2,2,2,2,2,3,2,2,3,2,2,3,1,2,2,2,2,2,3,3,3,6,2,1,1,1,NA,NA,NA,1,NA,1,1,8,2,2,2,3,1,4,2,4,4,1,6,2,1,2,2,2,2,2,2,6099,2,0.12283324868514138
"R_7q2uYppKXuhzuTD",1,"38583",2,4,3,4,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,6,3,6,5,5,3,3,3,NA,3,5,3,5,3,3,2,2,1,2,2,2,1,1,2,2,2,4,6,3,2,3,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,2,2,2,4,1,4,4,2,2,5,3,1,1,7,1,1,1,1,2,4,4,1,2,1,3,1,1,NA,NA,NA,1,NA,2,3,6,2,1,1,1,7,1,1,1,3,1,5,2,1,2,1,2,2,3,1,47185,2,1.7312970779604442
